"Qty";"Value";"Device";"Package";"Parts";"Description";"CREATED_BY";"DIGI_KEY_PART_NUMBER";"MANUFACTURER";"MPN";"POPULARITY";"SPICEPREFIX";"WE-NUMBER";
"1";"";"JP2E";"JP2";"JP1";"JUMPER";"";"";"";"";"34";"";"";
"4";"";"LEDSML0805";"SML0805";"LED1, LED2, LED3, LED4";"LED";"";"";"";"";"";"";"";
"1";"";"M251";"M251";"S2";"SLIDING SWITCH";"";"";"";"";"";"";"";
"2";"";"SJ2W";"SJ_2";"SJ1, SJ2";"SMD solder JUMPER";"";"";"";"";"";"";"";
"1";"0.1u";"C-EUC0805K";"C0805K";"C8";"CAPACITOR, European symbol";"";"";"";"";"52";"C";"";
"3";"100k";"R-EU_R0805";"R0805";"R11, R13, R18";"RESISTOR, European symbol";"";"";"";"";"86";"R";"";
"15";"100n";"C-EUC0805K";"C0805K";"C2, C4, C6, C10, C13, C14, C16, C18, C20, C22, C24, C26, C28, C30, C32";"CAPACITOR, European symbol";"";"";"";"";"52";"C";"";
"7";"10k";"R-EU_R0805";"R0805";"R2, R4, R5, R6, R7, R9, R10";"RESISTOR, European symbol";"";"";"";"";"86";"R";"";
"12";"10u";"CPOL-EUE1.8-4";"E1,8-4";"C1, C5, C15, C17, C19, C21, C23, C25, C27, C29, C31, C33";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"12";"C";"";
"1";"150p";"C-EUC0805K";"C0805K";"C11";"CAPACITOR, European symbol";"";"";"";"";"52";"C";"";
"2";"1k";"R-EU_R0805";"R0805";"R12, R14";"RESISTOR, European symbol";"";"";"";"";"86";"R";"";
"2";"200";"R-EU_R0805";"R0805";"R21, R22";"RESISTOR, European symbol";"";"";"";"";"86";"R";"";
"1";"20m";"R-EU_0613/15";"P0613/15";"R8";"RESISTOR, European symbol";"";"";"";"";"0";"R";"";
"2";"22u";"CPOL-EUE2.5-6";"E2,5-6";"C9, C12";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"26";"C";"";
"2";"3.3u";"WE-CHSA_1011_7843330330";"WE-CHSA_1011";"L1, L3";"WE-CHSA SMD High Current Inductor";"";"";"";"";"";"";"7843330330/3,3uH";
"1";"3.9u";"WE-CHSA_1011_7843330330";"WE-CHSA_1011";"L2";"WE-CHSA SMD High Current Inductor";"";"";"";"";"";"";"7843330330/3,3uH";
"3";"470";"R-EU_R0805";"R0805";"R15, R16, R17";"RESISTOR, European symbol";"";"";"";"";"86";"R";"";
"1";"470u";"CPOL-EUE7.5-16";"E7,5-16";"C34";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"4";"C";"";
"2";"47u";"CPOL-EUE2.5-6";"E2,5-6";"C3, C7";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"26";"C";"";
"1";"5.23";"R-EU_R0805";"R0805";"R19";"RESISTOR, European symbol";"";"";"";"";"86";"R";"";
"1";"54.9k";"R-EU_R0805";"R0805";"R1";"RESISTOR, European symbol";"";"";"";"";"86";"R";"";
"2";"600";"R-EU_R0805";"R0805";"R20, R23";"RESISTOR, European symbol";"";"";"";"";"86";"R";"";
"1";"61300211121";"61300211121";"61300211121";"J1";"CONN HEADER VERT 2POS 2.54MM";"PCBLayout.com";"732-5315-ND";"Wurth Electronics Inc.";"61300211121";"";"";"";
"1";"68.1k";"R-EU_R0805";"R0805";"R3";"RESISTOR, European symbol";"";"";"";"";"86";"R";"";
"1";"BAS40";"BAS40";"SOT23";"D1";"Silicon Schottky Diodes";"";"";"";"";"";"";"";
"3";"BSS123";"BSS123";"SOT23";"Q4, Q5, Q6";"N-CHANNEL MOS FET";"";"";"";"";"";"";"";
"3";"IRFR5305";"IRFR5305";"D-PAK_TO252AA";"Q1, Q2, Q3";"HEXFET Power MOSFET";"";"";"";"";"4";"";"";
"1";"LTC2945";"LTC2945";"LTC2945";"U$3";"";"";"";"";"";"";"";"";
"12";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"X1, X2, X3, X4, X5, X6, X7, X8, X9, X10, X11, X12";"MKDSN 1,5/ 2-5,08 Printklemme";"";"";"";"";"";"";"";
"1";"SWS004";"SWS004";"SMS-004";"S1";"SMD Dip Switch 4 pol.";"";"";"";"";"";"";"";
"1";"TPS54302";"TPS54302";"SOT23-6";"U$5";"";"";"";"";"";"";"";"";
"2";"TPS565208";"TPS565208";"SOT23-6";"U$1, U$2";"";"";"";"";"";"";"";"";
"1";"XT60";"XT60";"XT60";"U$4";"XT60";"";"";"";"";"";"";"";
